class,size
com.dexvis.dex.task.vis.dexcharts.google.AreaChart,1932
com.dexvis.dex.task.vis.dexcharts.google.DiffBarChart,2313
com.dexvis.dex.task.vis.dexcharts.google.DiffPieChart,2313
com.dexvis.dex.task.vis.dexcharts.google.Timeline,2286
com.dexvis.dex.task.vis.dexcharts.google.WordTree,2287
com.dexvis.dex.task.vis.javafx.JavaFXBarChart$_chart_closure3$_closure16$_closure17,2709
com.dexvis.dex.task.vis.javafx.JavaFXBarChart$_chart_closure3$_closure16$_closure18,4134
com.dexvis.dex.task.vis.javafx.JavaFXBarChart$_chart_closure3$_closure16$_closure19,3409
com.dexvis.dex.task.vis.javafx.JavaFXBarChart$_chart_closure3$_closure16$_closure20,3557
com.dexvis.dex.task.vis.javafx.JavaFXBarChart$_chart_closure3$_closure16,5512
com.dexvis.dex.task.vis.javafx.JavaFXBarChart$_chart_closure3,3471
com.dexvis.dex.task.vis.javafx.JavaFXBarChart$_execute_closure1,2143
com.dexvis.dex.task.vis.javafx.JavaFXBarChart$_execute_closure2$_closure15,2099
com.dexvis.dex.task.vis.javafx.JavaFXBarChart$_execute_closure2,2460
com.dexvis.dex.task.vis.javafx.JavaFXBarChart$_getConfig_closure10,2544
com.dexvis.dex.task.vis.javafx.JavaFXBarChart$_getConfig_closure11,2543
com.dexvis.dex.task.vis.javafx.JavaFXBarChart$_getConfig_closure12,2374
com.dexvis.dex.task.vis.javafx.JavaFXBarChart$_getConfig_closure13,2375
com.dexvis.dex.task.vis.javafx.JavaFXBarChart$_getConfig_closure14,2375
com.dexvis.dex.task.vis.javafx.JavaFXBarChart$_getConfig_closure4,2375
com.dexvis.dex.task.vis.javafx.JavaFXBarChart$_getConfig_closure5,2377
com.dexvis.dex.task.vis.javafx.JavaFXBarChart$_getConfig_closure6,2377
com.dexvis.dex.task.vis.javafx.JavaFXBarChart$_getConfig_closure7,2543
com.dexvis.dex.task.vis.javafx.JavaFXBarChart$_getConfig_closure8,2543
com.dexvis.dex.task.vis.javafx.JavaFXBarChart$_getConfig_closure9,2543
com.dexvis.dex.task.vis.javafx.JavaFXBarChart,18697
com.dexvis.dex.task.vis.javafx.JavaFXBubbleChart$_chart_closure3,2975
com.dexvis.dex.task.vis.javafx.JavaFXBubbleChart$_chart_closure4,2975
com.dexvis.dex.task.vis.javafx.JavaFXBubbleChart$_chart_closure5$_closure11,3430
com.dexvis.dex.task.vis.javafx.JavaFXBubbleChart$_chart_closure5,3788
com.dexvis.dex.task.vis.javafx.JavaFXBubbleChart$_chart_closure6$_closure12,3430
com.dexvis.dex.task.vis.javafx.JavaFXBubbleChart$_chart_closure6,3788
com.dexvis.dex.task.vis.javafx.JavaFXBubbleChart$_chart_closure7,3471
com.dexvis.dex.task.vis.javafx.JavaFXBubbleChart$_chart_closure8,3483
com.dexvis.dex.task.vis.javafx.JavaFXBubbleChart$_chart_closure9$_closure13$_closure14,10228
com.dexvis.dex.task.vis.javafx.JavaFXBubbleChart$_chart_closure9$_closure13,8753
com.dexvis.dex.task.vis.javafx.JavaFXBubbleChart$_chart_closure9,7198
com.dexvis.dex.task.vis.javafx.JavaFXBubbleChart$_execute_closure1,2155
com.dexvis.dex.task.vis.javafx.JavaFXBubbleChart$_execute_closure2$_closure10,2111
com.dexvis.dex.task.vis.javafx.JavaFXBubbleChart$_execute_closure2,2475
com.dexvis.dex.task.vis.javafx.JavaFXBubbleChart,24597
com.dexvis.dex.task.vis.javafx.JavaFXPieChart$_chart_closure3,2562
com.dexvis.dex.task.vis.javafx.JavaFXPieChart$_chart_closure4,3845
com.dexvis.dex.task.vis.javafx.JavaFXPieChart$_chart_closure5,2957
com.dexvis.dex.task.vis.javafx.JavaFXPieChart$_execute_closure1,2143
com.dexvis.dex.task.vis.javafx.JavaFXPieChart$_execute_closure2$_closure6,2097
com.dexvis.dex.task.vis.javafx.JavaFXPieChart$_execute_closure2,2459
com.dexvis.dex.task.vis.javafx.JavaFXPieChart,15935
com.dexvis.dex.task.vis.javafx.JavaFXXYChart$_chart_closure3$_closure6$_closure7,4869
com.dexvis.dex.task.vis.javafx.JavaFXXYChart$_chart_closure3$_closure6,3698
com.dexvis.dex.task.vis.javafx.JavaFXXYChart$_chart_closure3,3241
com.dexvis.dex.task.vis.javafx.JavaFXXYChart$_chart_closure4$_closure8$_closure9,3520
com.dexvis.dex.task.vis.javafx.JavaFXXYChart$_chart_closure4$_closure8,3698
com.dexvis.dex.task.vis.javafx.JavaFXXYChart$_chart_closure4,3241
com.dexvis.dex.task.vis.javafx.JavaFXXYChart$_execute_closure1,2139
com.dexvis.dex.task.vis.javafx.JavaFXXYChart$_execute_closure2$_closure5,2093
com.dexvis.dex.task.vis.javafx.JavaFXXYChart$_execute_closure2,2454
com.dexvis.dex.task.vis.javafx.JavaFXXYChart,23384
com.dexvis.dex.task.vis.nvd3.BarChart,1895
com.dexvis.dex.task.vis.nvd3.BubbleChart,1913
com.dexvis.dex.task.vis.nvd3.CrossFilter,2264
com.dexvis.dex.task.vis.nvd3.DonutChart,1908
com.dexvis.dex.task.vis.nvd3.LineChart,1901
